path,proposed_component,treatment,evidence_or_reason
"internal/service/instance/request.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/response.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/root.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/state.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/storage.go","service-identity","retain","package-and-symbol pass"
"internal/service/publication/contract.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/credential.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/doc.go","publication-discovery","retain","package documentation"
"internal/service/publication/introduction_instruction.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/lock_nonwindows.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/lock_windows.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/publication.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/readiness.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/publication/root.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/reachability/contract.go","publication-discovery","boundary-review","older descriptor contract; dependency audit needed"
"internal/service/reachability/descriptor.go","publication-discovery","boundary-review","older descriptor contract; dependency audit needed"
"internal/service/reachability/doc.go","publication-discovery","retain","package documentation"
"internal/service/reachability/gateway_profile.go","publication-discovery","retirement-review","no external production caller found; verify compatibility"
"internal/service/reachability/private_client.go","publication-discovery","retirement-review","no external production caller found; verify compatibility"
"internal/service/reachability/private_descriptor_encoding_linux.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/reachability/private_descriptor_issuance_linux.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/reachability/private_descriptor_wire.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/reachability/private_descriptor.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/reachability/private_gateway.go","publication-discovery","retirement-review","no external production caller found; verify compatibility"
"internal/service/reachability/private_relay.go","publication-discovery","retirement-review","no external production caller found; verify compatibility"
"internal/service/reachability/private_store.go","publication-discovery","retain","package-and-symbol pass"
"internal/service/reachability/private_wire.go","publication-discovery","retirement-review","no external production caller found; verify compatibility"
"internal/service/reachability/store_files.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/reachability/store_lock_nonwindows.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/reachability/store_lock_windows.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/reachability/store_root.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/reachability/store_sync_nonwindows.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/reachability/store_sync_windows.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/reachability/store.go","publication-discovery","retain","node resolution calls reachability.OpenStore"
"internal/service/targetlink/doc.go","publication-discovery","retain","package documentation"
"internal/service/targetlink/target_link.go","publication-discovery","retain","package-and-symbol pass"
